DATABASE	ID	NAME	TIER	CATEGORY	SIZE	SUBCATEGORY	MASS_KG	VOLUME_M3	BASE_PRICE	PRODUCTION_TIME_SEC	INPUT_1	INPUT_1_QTY	INPUT_2	INPUT_2_QTY	INPUT_3	INPUT_3_QTY	SPECIAL_NOTES	INFO_TEXT
COMPONENT	COMP_001	Flux Capacitor Unit	1	Electronics	S	Power Storage	5	0.5	500	300	MAT_001	10	MAT_002	8	-	-	Electronic warfare capabilities	Electronic warfare capabilities
COMPONENT	COMP_002	Circuit Matrix Board	1	Electronics	S	Processing	3	0.3	450	240	MAT_002	12	MAT_003	6	-	-	Electronic warfare capabilities	Electronic warfare capabilities
COMPONENT	COMP_003	Nano-Lattice Frame	1	Structure	S	Framework	8	0.8	400	180	MAT_001	15	MAT_003	5	-	-	Structural framework component	Structural framework component
COMPONENT	COMP_004	Plasma Conduit Array	2	Energy	S	Transfer	4	0.4	800	360	MAT_003	10	MAT_004	8	MAT_012	3	Energy transfer component	Energy transfer component
COMPONENT	COMP_005	Quantum Relay Node	2	Electronics	S	Communication	2	0.2	1200	420	MAT_004	8	MAT_005	6	MAT_018	4	Electronic warfare capabilities	Electronic warfare capabilities
COMPONENT	COMP_006	Servo-Actuator Assembly	2	Mechanical	S	Movement	6	0.6	700	300	MAT_003	12	MAT_009	8	-	-	Manufacturing component	Manufacturing component
COMPONENT	COMP_007	Photonic Processor Core	3	Electronics	M	Computing	4	0.4	2500	600	MAT_005	15	MAT_020	10	COMP_002	2	Electronic warfare capabilities	Electronic warfare capabilities
COMPONENT	COMP_008	Reinforced Bulkhead	2	Structure	M	Armor	20	2.0	900	420	MAT_009	25	MAT_019	15	-	-	Manufacturing component	Manufacturing component
COMPONENT	COMP_009	Sensor Array Module	2	Scanner	S	Detection	3	0.3	1500	480	MAT_004	10	MAT_020	8	COMP_005	1	Manufacturing component	Manufacturing component
COMPONENT	COMP_010	Fusion Regulator Unit	3	Energy	M	Control	7	0.7	3000	720	MAT_012	12	MAT_013	10	COMP_004	3	Manufacturing component	Manufacturing component
COMPONENT	COMP_011	Graphene Heatsink	2	Cooling	S	Thermal	4	0.4	850	360	MAT_018	20	MAT_011	10	-	-	Manufacturing component	Manufacturing component
COMPONENT	COMP_012	Crystalline Focusing Lens	3	Optics	S	Precision	1	0.1	1800	540	MAT_012	15	MAT_020	12	-	-	Manufacturing component	Manufacturing component
COMPONENT	COMP_013	Hyper-Threading Core	3	Electronics	M	Processing	5	0.5	4000	900	MAT_005	20	COMP_007	2	COMP_002	3	Electronic warfare capabilities	Electronic warfare capabilities
COMPONENT	COMP_014	Magnetic Confinement Ring	3	Energy	M	Containment	15	1.5	2800	660	MAT_013	18	MAT_006	12	-	-	Manufacturing component	Manufacturing component
COMPONENT	COMP_015	Adaptive Armor Plate	3	Structure	M	Defense	25	2.5	3500	840	MAT_019	30	MAT_029	20	COMP_008	2	Manufacturing component	Manufacturing component
COMPONENT	COMP_016	Temporal Stabilizer	4	Advanced	S	Exotic	3	0.3	6000	1200	MAT_006	15	MAT_015	10	COMP_010	2	Manufacturing component	Manufacturing component
COMPONENT	COMP_017	Neural Interface Module	3	Electronics	S	Bio-Tech	2	0.2	5000	960	MAT_025	20	COMP_005	3	-	-	Electronic warfare capabilities	Electronic warfare capabilities
COMPONENT	COMP_018	Drone Control Matrix	3	Electronics	M	AI System	8	0.8	4500	1080	MAT_005	25	COMP_013	2	COMP_005	4	Electronic warfare capabilities	Electronic warfare capabilities
